included,reason,rel_path,abs_path,ext,size_bytes,mtime_iso
1,ok,_tmp_signal.csv,E:\output\_tmp_signal.csv,.csv,626,2026-02-28T09:56:45
1,ok,adsb_coverage_heatmap.html,E:\output\adsb_coverage_heatmap.html,.html,1182306,2026-02-28T15:44:29
1,ok,adsb_daily_summary.csv,E:\output\adsb_daily_summary.csv,.csv,4731,2026-02-28T15:41:30
1,ok,adsb_daily_summary_raw.csv,E:\output\adsb_daily_summary_raw.csv,.csv,1544,2026-02-28T15:41:26
1,ok,adsb_daily_summary_v2.csv,E:\output\adsb_daily_summary_v2.csv,.csv,5754,2026-02-28T15:41:51
1,ok,adsb_signal_daily_summary.csv,E:\output\adsb_signal_daily_summary.csv,.csv,1332,2026-02-24T00:02:01
1,ok,adsb_signal_range_summary.csv,E:\output\adsb_signal_range_summary.csv,.csv,1504,2026-02-28T15:41:33
1,ok,coverage/coverage_trend.csv,E:\output\coverage\coverage_trend.csv,.csv,1190,2026-02-28T15:43:56
0,ext_not_included,coverage/coverage_trend_report.png,E:\output\coverage\coverage_trend_report.png,.png,114160,2026-02-28T15:43:57
0,ext_not_included,coverage/pos_20260124_polar_p95.png,E:\output\coverage\pos_20260124_polar_p95.png,.png,227966,2026-02-28T15:43:18
0,ext_not_included,coverage/pos_20260125_polar_p95.png,E:\output\coverage\pos_20260125_polar_p95.png,.png,244742,2026-02-28T15:43:54
0,ext_not_included,coverage/pos_20260126_polar_p95.png,E:\output\coverage\pos_20260126_polar_p95.png,.png,246288,2026-02-28T15:43:54
0,ext_not_included,coverage/pos_20260127_polar_p95.png,E:\output\coverage\pos_20260127_polar_p95.png,.png,260401,2026-02-28T15:43:56
0,ext_not_included,coverage/pos_20260128_polar_p95.png,E:\output\coverage\pos_20260128_polar_p95.png,.png,235626,2026-02-28T15:43:20
0,ext_not_included,coverage/pos_20260211_polar_p95.png,E:\output\coverage\pos_20260211_polar_p95.png,.png,253020,2026-02-28T15:43:19
0,ext_not_included,coverage/pos_20260212_polar_p95.png,E:\output\coverage\pos_20260212_polar_p95.png,.png,249821,2026-02-28T15:43:20
0,ext_not_included,coverage/pos_20260213_polar_p95.png,E:\output\coverage\pos_20260213_polar_p95.png,.png,245318,2026-02-28T15:43:21
0,ext_not_included,coverage/pos_20260214_polar_p95.png,E:\output\coverage\pos_20260214_polar_p95.png,.png,250254,2026-02-28T15:43:22
0,ext_not_included,coverage/pos_20260215_polar_p95.png,E:\output\coverage\pos_20260215_polar_p95.png,.png,237280,2026-02-28T15:43:22
0,ext_not_included,coverage/pos_20260216_polar_p95.png,E:\output\coverage\pos_20260216_polar_p95.png,.png,264247,2026-02-28T15:43:23
