minute_key,date,date_iso,phase,phase_detail,os_n_total,os_n_used,os_km_max,os_km_avg,local_n_unique,local_km_max,capture_ratio,os_bin_0-50,local_bin_0-50,capture_bin_0-50,os_bin_50-100,local_bin_50-100,capture_bin_50-100,os_bin_100-150,local_bin_100-150,capture_bin_100-150,os_bin_150-200,local_bin_150-200,capture_bin_150-200,os_bin_200-9999,local_bin_200-9999,capture_bin_200-9999
29445136,20251226,2025-12-26,RTL-SDR,Unknown,17,13,161.578,80.24,0,0.0,0.0,3.7332291858114317,0,0.0,6.317742211921973,0,0.0,2.5598018114726977,0,0.0,0.3892267907938972,0,,0.0,0,
29445137,20251226,2025-12-26,RTL-SDR,Unknown,16,11,138.43,80.825,0,0.0,0.0,2.8052064631956912,0,0.0,3.9435245012713147,0,0.0,4.251269035532994,0,0.0,0.0,0,,0.0,0,
29445138,20251226,2025-12-26,RTL-SDR,Unknown,17,15,147.763,85.165,0,0.0,0.0,3.777576307041403,0,0.0,3.985746124663101,0,0.0,7.236677568295496,0,0.0,0.0,0,,0.0,0,
29445139,20251226,2025-12-26,RTL-SDR,Unknown,17,13,156.97,84.775,0,0.0,0.0,4.1972311189172435,0,0.0,3.946487226293639,0,0.0,4.36723804511727,0,0.0,0.48904360967184735,0,,0.0,0,
29445140,20251226,2025-12-26,RTL-SDR,Unknown,17,14,166.517,96.848,0,0.0,0.0,3.5942779095679676,0,0.0,3.6410531509021564,0,0.0,4.931152936498336,0,0.0,1.8335160030315398,0,0.0,0.0,0,
29445141,20251226,2025-12-26,RTL-SDR,Unknown,18,15,176.486,86.792,0,0.0,0.0,4.441549212365272,0,0.0,4.366561015034749,0,0.0,4.875710198850244,0,0.0,1.316179573749735,0,0.0,0.0,0,
29445142,20251226,2025-12-26,RTL-SDR,Unknown,17,15,159.631,83.563,0,0.0,0.0,4.879508666007391,0,0.0,4.5306444895246925,0,0.0,4.2695025275482585,0,0.0,1.320344316919659,0,0.0,0.0,0,
29445143,20251226,2025-12-26,RTL-SDR,Unknown,22,18,193.212,85.538,0,0.0,0.0,6.949270326615706,0,0.0,4.166219456236559,0,0.0,3.3712444754188127,0,0.0,3.513265741728923,0,0.0,0.0,0,
29445144,20251226,2025-12-26,RTL-SDR,Unknown,23,16,179.701,74.322,0,0.0,0.0,6.5827367728132975,0,0.0,5.601507276801185,0,0.0,2.1172609700584015,0,0.0,1.6984949803271157,0,0.0,0.0,0,
29445145,20251226,2025-12-26,RTL-SDR,Unknown,22,17,140.292,60.228,0,0.0,0.0,7.616350961452303,0,0.0,7.546150333481914,0,0.0,1.837498705065782,0,0.0,0.0,0,,0.0,0,
29445146,20251226,2025-12-26,RTL-SDR,Unknown,22,19,153.571,64.86,0,0.0,0.0,8.907140714071407,0,0.0,5.987811539885923,0,0.0,3.1034923546098763,0,0.0,1.0015553914327933,0,0.0,0.0,0,
29445147,20251226,2025-12-26,RTL-SDR,Unknown,19,17,165.322,64.836,0,0.0,0.0,8.85107878443265,0,0.0,4.987179446920815,0,0.0,1.9984235592427249,0,0.0,1.1633182094038093,0,0.0,0.0,0,
29445148,20251226,2025-12-26,RTL-SDR,Unknown,19,17,110.443,55.355,0,0.0,0.0,8.910771882994105,0,0.0,7.064049956086354,0,0.0,1.0251781609195412,0,0.0,0.0,0,,0.0,0,
29445149,20251226,2025-12-26,RTL-SDR,Unknown,23,19,132.905,59.522,0,0.0,0.0,8.52522569413285,0,0.0,9.032823011641387,0,0.0,1.4419512942257626,0,0.0,0.0,0,,0.0,0,
29445150,20251226,2025-12-26,RTL-SDR,Unknown,23,20,178.945,70.424,0,0.0,0.0,8.676187336236964,0,0.0,7.188507634908953,0,0.0,3.3437010359647057,0,0.0,0.7916039928893759,0,0.0,0.0,0,
29445151,20251226,2025-12-26,RTL-SDR,Unknown,26,23,167.311,66.335,0,0.0,0.0,10.021262504792777,0,0.0,8.582438750990436,0,0.0,3.4705337702584527,0,0.0,0.925764973958334,0,0.0,0.0,0,
29445152,20251226,2025-12-26,RTL-SDR,Unknown,26,22,158.391,71.572,0,0.0,0.0,8.93060111064203,0,0.0,8.001392017184351,0,0.0,3.4191109203502665,0,0.0,1.648895951823353,0,0.0,0.0,0,
29445153,20251226,2025-12-26,RTL-SDR,Unknown,26,19,146.93,65.652,0,0.0,0.0,7.732252445833537,0,0.0,8.486905561935785,0,0.0,2.780841992230678,0,0.0,0.0,0,,0.0,0,
29445154,20251226,2025-12-26,RTL-SDR,Unknown,26,16,119.993,61.079,0,0.0,0.0,7.342413451301443,0,0.0,6.4640134072117466,0,0.0,2.1935731414868105,0,0.0,0.0,0,,0.0,0,
29445155,20251226,2025-12-26,RTL-SDR,Unknown,24,16,149.659,74.64,0,0.0,0.0,4.924470927154764,0,0.0,7.457357859054814,0,0.0,3.618171213790422,0,0.0,0.0,0,,0.0,0,
29445156,20251226,2025-12-26,RTL-SDR,Unknown,21,19,159.621,75.995,0,0.0,0.0,5.804646160990333,0,0.0,7.528987012428287,0,0.0,5.328200850556516,0,0.0,0.33816597602486376,0,,0.0,0,
29445157,20251226,2025-12-26,RTL-SDR,Unknown,21,18,169.953,78.036,0,0.0,0.0,5.746172410710866,0,0.0,6.119109444838165,0,0.0,5.721041572232586,0,0.0,0.4136765722183837,0,,0.0,0,
29445158,20251226,2025-12-26,RTL-SDR,Unknown,23,18,174.727,83.591,0,0.0,0.0,5.785400221130853,0,0.0,5.501814108702376,0,0.0,5.74237732858117,0,0.0,0.9704083415856006,0,0.0,0.0,0,
29445159,20251226,2025-12-26,RTL-SDR,Unknown,25,20,145.465,82.518,0,0.0,0.0,6.241885548786578,0,0.0,6.651152315460501,0,0.0,7.106962135752921,0,0.0,0.0,0,,0.0,0,
29445160,20251226,2025-12-26,RTL-SDR,Unknown,21,19,170.736,82.564,0,0.0,0.0,5.715798466962686,0,0.0,7.178751947518789,0,0.0,4.702261686277835,0,0.0,1.4031878992406899,0,0.0,0.0,0,
29445161,20251226,2025-12-26,RTL-SDR,Unknown,25,21,162.427,86.443,0,0.0,0.0,5.812279963687089,0,0.0,6.146488993114383,0,0.0,6.796285347224316,0,0.0,2.2449456959742107,0,0.0,0.0,0,
29445162,20251226,2025-12-26,RTL-SDR,Unknown,24,19,169.026,88.41,0,0.0,0.0,5.622965374371116,0,0.0,5.860353166858512,0,0.0,4.688126511101483,0,0.0,2.828554947668888,0,0.0,0.0,0,
29445163,20251226,2025-12-26,RTL-SDR,Unknown,27,21,158.301,78.542,0,0.0,0.0,7.070992767384541,0,0.0,7.092555532303848,0,0.0,6.092951742962809,0,0.0,0.7434999573488018,0,0.0,0.0,0,
