date,time_bin,auc_sum,total_packets,minutes,traffic_proxy,post
2026-01-05,16-18,2909,3624,120,263.5,0
2026-01-05,18-20,2476,3193,120,263.5,0
2026-01-05,20-22,2258,2824,120,263.5,0
2026-01-05,22-24,896,1091,120,263.5,0
2026-01-06,00-02,395,555,120,263.5,0
2026-01-06,02-04,283,402,120,263.5,0
2026-01-06,04-06,102,139,120,263.5,0
2026-01-06,06-08,1084,1360,120,263.5,0
2026-01-06,08-10,2200,2700,120,263.5,0
2026-01-06,10-12,2667,3398,120,263.5,0
2026-01-06,12-14,2325,2894,120,263.5,0
2026-01-06,14-16,3119,4101,120,263.5,0
2026-01-06,16-18,3417,4362,120,263.5,0
2026-01-06,18-20,2740,3351,120,263.5,0
2026-01-06,20-22,2223,2707,120,263.5,0
2026-01-06,22-24,1052,1263,120,263.5,0
2026-01-07,00-02,338,459,120,263.5,0
2026-01-07,02-04,314,435,120,263.5,0
2026-01-07,04-06,219,294,120,263.5,0
2026-01-07,06-08,934,1191,120,263.5,0
2026-01-07,08-10,2061,2576,120,263.5,0
2026-01-07,10-12,2917,3710,120,263.5,0
2026-01-07,12-14,2467,3139,120,263.5,0
2026-01-07,14-16,2496,3271,120,263.5,0
2026-01-07,16-18,2525,3111,116,263.5,0
2026-01-07,18-20,2516,3097,115,263.5,0
2026-01-07,20-22,1880,2261,120,263.5,0
2026-01-07,22-24,797,948,120,263.5,0
2026-01-08,00-02,482,624,120,263.5,0
2026-01-08,02-04,371,487,120,263.5,0
2026-01-08,04-06,177,232,120,263.5,0
2026-01-08,06-08,975,1213,120,263.5,0
2026-01-08,08-10,2117,2600,120,263.5,0
2026-01-08,10-12,2943,3681,120,263.5,0
2026-01-08,12-14,2274,2859,120,263.5,0
2026-01-08,14-16,2692,3395,120,263.5,0
2026-01-08,16-18,2738,3319,120,263.5,0
2026-01-08,18-20,2638,3181,120,263.5,0
2026-01-08,20-22,1849,2201,120,263.5,0
2026-01-08,22-24,1063,1294,120,263.5,0
2026-01-09,00-02,364,494,120,263.5,0
2026-01-09,02-04,287,402,120,263.5,0
2026-01-09,04-06,149,189,120,263.5,0
2026-01-09,06-08,888,1115,120,263.5,0
2026-01-09,08-10,2051,2566,120,263.5,0
2026-01-09,10-12,2692,3475,120,263.5,0
2026-01-09,12-14,2546,3184,120,263.5,0
2026-01-09,14-16,2512,3300,120,263.5,0
2026-01-09,16-18,2686,3285,120,263.5,0
2026-01-09,18-20,2541,3073,120,263.5,0
2026-01-09,20-22,2051,2508,120,263.5,0
2026-01-09,22-24,1074,1295,120,263.5,0
2026-01-10,00-02,437,579,120,263.5,0
2026-01-10,02-04,487,636,120,263.5,0
2026-01-10,04-06,255,332,120,263.5,0
2026-01-10,06-08,1083,1458,120,263.5,0
2026-01-10,08-10,2325,3090,120,263.5,0
2026-01-10,10-12,4451,5732,120,263.5,0
2026-01-10,12-14,4713,5959,120,263.5,0
2026-01-10,14-16,3913,4979,120,263.5,0
2026-01-10,16-18,2704,3293,120,263.5,0
2026-01-10,18-20,2486,3099,120,263.5,0
2026-01-10,20-22,2495,3083,120,263.5,0
2026-01-10,22-24,1096,1290,120,263.5,0
2026-01-11,00-02,793,958,120,263.5,0
2026-01-11,02-04,457,569,120,263.5,0
2026-01-11,04-06,469,625,120,263.5,0
2026-01-11,06-08,2469,2962,120,263.5,0
2026-01-11,08-10,5503,6755,152,263.5,0
2026-01-11,10-12,5834,7222,120,263.5,0
2026-01-11,12-14,5239,6587,120,263.5,0
2026-01-11,14-16,5330,6729,120,263.5,0
2026-01-11,16-18,5987,7303,120,263.5,0
2026-01-11,18-20,5169,6455,120,263.5,0
2026-01-11,20-22,4292,5337,120,263.5,0
2026-01-11,22-24,2136,2623,120,263.5,0
2026-01-12,00-02,540,647,120,263.5,0
2026-01-12,02-04,557,707,120,263.5,0
2026-01-12,04-06,412,552,120,263.5,0
2026-01-12,06-08,1750,2207,120,263.5,0
2026-01-12,08-10,3374,4204,120,263.5,0
2026-01-12,10-12,4614,5893,120,263.5,0
2026-01-12,12-14,4736,6035,120,263.5,0
2026-01-12,14-16,5121,6581,120,263.5,0
2026-01-12,16-18,4229,5349,120,263.5,0
2026-01-12,18-20,4085,5164,120,263.5,0
