time_bin,old_mean,new_mean,improvement_pct,p_value
00-02,727.8571428571429,812.1333333333333,11.578671900556103,0.09736757739830469
02-04,713.3469387755102,1148.4,60.98758368140986,0.0001110044290269811
04-06,388.6938775510204,573.4666666666667,47.53684063145367,0.00047683994231246423
06-08,1760.530612244898,2209.9333333333334,25.52654966421688,0.00017446571084048617
08-10,3532.06,4420.714285714285,25.159659963711988,7.417622369463904e-05
10-12,4785.428571428572,5926.928571428572,23.853662905248065,0.00021467704642348428
12-14,4621.897959183673,5401.285714285715,16.862937303784562,0.01607624837126496
14-16,5077.617021276596,6235.0,22.793821863162478,0.0006901877423806338
16-18,4758.020833333333,5869.8,23.36642073691355,0.0004374481928623344
18-20,4364.541666666667,5297.266666666666,21.37051427698593,0.00027934589957905325
20-22,3399.8541666666665,4058.133333333333,19.361982437972223,0.006529096915723686
22-24,1541.795918367347,1649.1333333333334,6.961843243147858,0.2099694672637946
